C1;C2;C3;C4;C5;C6
0,9858;1,0196;0,9913;0,0195;0,0000;0,0091
0,9873;1,0200;0,9957;0,0167;0,0000;0,0086
0,9912;1,0149;0,9998;0,0165;0,0000;0,0086
0,9930;1,0124;0,9984;0,0130;0,0000;0,0118
0,9897;1,0097;0,9948;0,0121;0,0000;0,0114
0,9884;0,9995;0,9991;0,0112;0,0000;0,0076
0,9907;0,9941;0,9991;0,0128;0,0000;0,0051
0,9890;0,9879;0,9937;0,0131;0,0000;0,0062
0,9896;0,9850;0,9925;0,0146;0,0000;0,0025
0,9909;0,9809;0,9850;0,0149;0,0000;0,0021
0,9888;0,9718;0,9877;0,0133;0,0000;0,0043
0,9884;0,9837;0,9843;0,0137;0,0000;0,0055
0,9816;0,9913;0,9854;0,0139;0,0000;0,0027
0,9793;0,9846;0,9874;0,0162;0,0000;0,0071
0,9785;0,9857;0,9862;0,0144;0,0000;0,0088
0,9758;0,9881;0,9911;0,0109;0,0000;0,0113
0,9788;0,9945;0,9948;0,0094;0,0030;0,0048
0,9757;0,9905;0,9956;0,0100;0,0043;0,0071
0,9745;0,9961;0,9984;0,0131;0,0049;0,0099
0,9746;0,9924;1,0016;0,0105;0,0101;0,0152
0,9772;0,9844;0,9984;0,0112;0,0113;0,0122
0,9741;0,9897;0,9956;0,0147;0,0043;0,0151
0,9762;0,9966;0,9961;0,0152;0,0023;0,0168
0,9760;1,0127;1,0003;0,0164;0,0036;0,0095
0,9738;1,0050;1,0023;0,0162;0,0000;0,0115
0,9745;1,0083;0,9982;0,0151;0,0000;0,0121
0,9746;1,0057;1,0087;0,0137;0,0000;0,0100
0,9732;1,0102;1,0123;0,0135;0,0000;0,0097
0,9731;1,0006;1,0091;0,0131;0,0000;0,0119
0,9721;0,9928;1,0091;0,0155;0,0000;0,0090
0,9722;0,9878;1,0073;0,0168;0,0000;0,0080
0,9733;0,9884;1,0076;0,0108;0,0000;0,0099
0,9762;0,9850;1,0080;0,0076;0,0000;0,0148
0,9736;0,9900;1,0127;0,0027;0,0000;0,0158
